"","V1","V2","V3","prob","cumul.prob","V6"
"967",75,22,3,1.08230238595684e-21,1.60035434898169e-18,83.54
"968",22,75,3,1.08230238595684e-21,1.60143665136765e-18,83.54
"969",75,3,22,1.08230238595684e-21,1.60251895375361e-18,83.54
"970",3,75,22,1.08230238595684e-21,1.60360125613956e-18,83.54
"971",22,3,75,1.08230238595684e-21,1.60468355852552e-18,83.54
"972",3,22,75,1.08230238595684e-21,1.60576586091148e-18,83.54
"973",76,17,7,5.35739681048614e-20,1.65933982901634e-18,83.42
"974",17,76,7,5.35739681048614e-20,1.7129137971212e-18,83.42
"975",76,7,17,5.35739681048614e-20,1.76648776522606e-18,83.42
"976",7,76,17,5.35739681048614e-20,1.82006173333092e-18,83.42
"977",17,7,76,5.35739681048614e-20,1.87363570143578e-18,83.42
"978",7,17,76,5.35739681048614e-20,1.92720966954065e-18,83.42
"979",74,25,1,3.52924691072898e-23,1.92724496200975e-18,83.06
"980",25,74,1,3.52924691072898e-23,1.92728025447886e-18,83.06
"981",74,1,25,3.52924691072898e-23,1.92731554694797e-18,83.06
"982",1,74,25,3.52924691072898e-23,1.92735083941708e-18,83.06
"983",25,1,74,3.52924691072898e-23,1.92738613188618e-18,83.06
"984",1,25,74,3.52924691072898e-23,1.92742142435529e-18,83.06
"985",76,16,8,1.1384468222283e-19,2.04126610657812e-18,82.88
"986",16,76,8,1.1384468222283e-19,2.15511078880095e-18,82.88
"987",76,8,16,1.1384468222283e-19,2.26895547102378e-18,82.88
"988",8,76,16,1.1384468222283e-19,2.38280015324661e-18,82.88
"989",16,8,76,1.1384468222283e-19,2.49664483546944e-18,82.88
"990",8,16,76,1.1384468222283e-19,2.61048951769227e-18,82.88
"991",75,21,4,5.95266312276274e-21,2.61644218081503e-18,82.46
"992",21,75,4,5.95266312276274e-21,2.6223948439378e-18,82.46
"993",76,15,9,2.02390546173923e-19,2.82478539011172e-18,82.46
"994",15,76,9,2.02390546173923e-19,3.02717593628564e-18,82.46
"995",76,9,15,2.02390546173923e-19,3.22956648245956e-18,82.46
"996",9,76,15,2.02390546173923e-19,3.43195702863349e-18,82.46
"997",75,4,21,5.95266312276274e-21,3.43790969175625e-18,82.46
"998",4,75,21,5.95266312276274e-21,3.44386235487901e-18,82.46
"999",21,4,75,5.95266312276274e-21,3.44981501800178e-18,82.46
"1000",4,21,75,5.95266312276274e-21,3.45576768112454e-18,82.46
"1001",15,9,76,2.02390546173923e-19,3.65815822729846e-18,82.46
"1002",9,15,76,2.02390546173923e-19,3.86054877347238e-18,82.46
"1003",76,14,10,3.03585819260883e-19,4.16413459273327e-18,82.16
"1004",14,76,10,3.03585819260883e-19,4.46772041199415e-18,82.16
"1005",76,10,14,3.03585819260883e-19,4.77130623125503e-18,82.16
"1006",10,76,14,3.03585819260883e-19,5.07489205051591e-18,82.16
"1007",14,10,76,3.03585819260883e-19,5.3784778697768e-18,82.16
"1008",10,14,76,3.03585819260883e-19,5.68206368903768e-18,82.16
"1009",76,13,11,3.86381951786584e-19,6.06844564082426e-18,81.98
"1010",13,76,11,3.86381951786584e-19,6.45482759261085e-18,81.98
"1011",76,11,13,3.86381951786584e-19,6.84120954439743e-18,81.98
"1012",11,76,13,3.86381951786584e-19,7.22759149618402e-18,81.98
"1013",13,11,76,3.86381951786584e-19,7.6139734479706e-18,81.98
"1014",11,13,76,3.86381951786584e-19,8.00035539975718e-18,81.98
"1015",76,12,12,4.18580447768808e-19,8.41893584752599e-18,81.92
"1016",12,76,12,4.18580447768808e-19,8.8375162952948e-18,81.92
"1017",12,12,76,4.18580447768808e-19,9.25609674306361e-18,81.92
"1018",73,27,0,3.72028876629514e-24,9.25610046335238e-18,81.74
"1019",27,73,0,3.72028876629514e-24,9.25610418364114e-18,81.74
"1020",73,0,27,3.72028876629514e-24,9.25610790392991e-18,81.74
"1021",0,73,27,3.72028876629514e-24,9.25611162421867e-18,81.74
"1022",27,0,73,3.72028876629514e-24,9.25611534450744e-18,81.74
"1023",0,27,73,3.72028876629514e-24,9.25611906479621e-18,81.74
"1024",74,24,2,4.41155863841111e-22,9.25656022066005e-18,81.68
"1025",24,74,2,4.41155863841111e-22,9.25700137652389e-18,81.68
"1026",74,2,24,4.41155863841111e-22,9.25744253238773e-18,81.68
"1027",2,74,24,4.41155863841111e-22,9.25788368825157e-18,81.68
"1028",24,2,74,4.41155863841111e-22,9.25832484411541e-18,81.68
"1029",2,24,74,4.41155863841111e-22,9.25876599997925e-18,81.68
"1030",75,20,5,2.50011851156033e-20,9.28376718509486e-18,81.5
"1031",20,75,5,2.50011851156033e-20,9.30876837021046e-18,81.5
"1032",75,5,20,2.50011851156033e-20,9.33376955532606e-18,81.5
"1033",5,75,20,2.50011851156033e-20,9.35877074044167e-18,81.5
"1034",20,5,75,2.50011851156033e-20,9.38377192555727e-18,81.5
"1035",5,20,75,2.50011851156033e-20,9.40877311067287e-18,81.5
"1036",75,19,6,8.33372837186769e-20,9.49211039439155e-18,80.66
"1037",19,75,6,8.33372837186769e-20,9.57544767811023e-18,80.66
"1038",75,6,19,8.33372837186769e-20,9.6587849618289e-18,80.66
"1039",6,75,19,8.33372837186769e-20,9.74212224554758e-18,80.66
"1040",19,6,75,8.33372837186769e-20,9.82545952926626e-18,80.66
"1041",6,19,75,8.33372837186769e-20,9.90879681298493e-18,80.66
